Year,MSHA ID,Mine Name,Mine State,Mine County,Mine Status,Mine Type,Company Type,Operation Type,Operating Company,Operating Company Address,Union Code,Coal Supply Region,Production (short tons),Average Employees,Labor Hours
2019,103489,John Poe Mine,Alabama,De Kalb,Active,Surface,Indepedent Producer Operator,Mine only,Kennedy Brothers Construction,"756 Co. Rd 676, Fort Payne, AL 35968",,Appalachia Southern,"2,913",2,720
2019,100329,Oak Grove Preparation Plant,Alabama,Jefferson,Active,Underground,Indepedent Producer Operator,Preparation Plant,Murray Oak Grove Coal Llc,"8360 Taylors Ferry Rd, Hueytown, AL 35023",United Mine Workers Of America,Appalachia Southern,0,58,"152,268"
2019,100627,Flat Top Mine,Alabama,Jefferson,Active,Surface,Indepedent Producer Operator,Mine only,"Cedar Lake Mining, Inc","P.O. Box 1608, Jasper, AL 35502",,Appalachia Southern,"259,730",40,"112,709"
2019,100851,Oak Grove Mine,Alabama,Jefferson,Active,Underground,Indepedent Producer Operator,Mine only,Murray Oak Grove Coal Llc,"8360 Taylors Ferry Rd, Bessemer, AL 35023",United Mine Workers Of America,Appalachia Southern,"1,364,382",456,"1,094,695"
2019,101401,No 7 Mine,Alabama,Jefferson,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,"Warrior Met Coal Mining, Llc","P.O. Box 133, Brookwood, AL 35444",United Mine Workers Of America,Appalachia Southern,"6,247,986",869,"2,244,324"
2019,103101,Pratt No. 1 Mine,Alabama,Jefferson,Active,Surface,Indepedent Producer Operator,Preparation Plant,"Cane Creek, Llc","P.O. Box 1608, Jasper, AL 35502",,Appalachia Southern,0,10,"19,691"
2019,103180,Sloan Mountain Mine,Alabama,Jefferson,"Active, men working, not producing",Surface,Indepedent Producer Operator,Mine only,M S & R Equipment Company Inc,"P.O. Box 1608, Jasper, AL 35502",,Appalachia Southern,"37,435",17,"22,711"
2019,103285,Narley Mine,Alabama,Jefferson,Active,Surface,Indepedent Producer Operator,Mine only,Best Coal Inc,"P.O. Box 1608, Jasper, AL 35502",,Appalachia Southern,"122,603",18,"49,724"
2019,103419,Maxine-Pratt Mine,Alabama,Jefferson,Active,Underground,Indepedent Producer Operator,Mine only,Alaco L.L.C.,"301 Matthews Drive, Jasper, AL 35503",,Appalachia Southern,"200,197",41,"96,867"
2019,103432,Skelton Creek,Alabama,Jefferson,Active,Surface,Indepedent Producer Operator,Mine only,"Southern Mineral Resources , L","15111 Howton Loop Road, Brookwood, AL 35444",,Appalachia Southern,"17,985",3,"4,565"
