Year,MSHA ID,Mine Name,Mine State,Mine County,Mine Status,Mine Type,Company Type,Operation Type,Operating Company,Operating Company Address,Union Code,Coal Supply Region,Production (short tons),Average Employees,Labor Hours
2021,103540,Dodge Mine,Alabama,Cullman,Active,Surface,Independent Producer Operator,Preparation Plant,Southern Mineral Resources Llc,"1915 County Road 8, Hanceville, AL 35077",,Appalachia Southern,0,4,"8,183"
2021,103489,John Poe Mine,Alabama,De Kalb,Active,Surface,Independent Producer Operator,Mine only,Kennedy Brothers Construction,"3024 Byler Road, Eldridge, AL 35554",,Appalachia Southern,"6,487",2,820
2021,100329,Oak Grove Preparation Plant,Alabama,Jefferson,Active,Underground,Operating Subsidiary,Preparation Plant,Crimson Oak Grove Resources Ll,"8360 Taylors Ferry Rd, Hueytown, AL 35023",United Mine Workers Of America,Appalachia Southern,0,53,"116,182"
2021,100627,Flat Top Mine,Alabama,Jefferson,Active,Surface,Independent Producer Operator,Mine only,Best Coal Inc.,"P.O. Box 1608, Jasper, AL 35502",,Appalachia Southern,"203,190",42,"117,312"
2021,100851,Oak Grove Mine,Alabama,Jefferson,Active,Underground,Operating Subsidiary,Mine only,Crimson Oak Grove Resources Ll,"8360 Taylors Ferry Rd, Bessemer, AL 35023",United Mine Workers Of America,Appalachia Southern,"2,020,277",461,"1,100,028"
2021,101401,No 7 Mine,Alabama,Jefferson,Active,Underground,Independent Producer Operator,Mine and Preparation Plant,"Warrior Met Coal Mining, Llc","P.O. Box 133, Brookwood, AL 35444",United Mine Workers Of America,Appalachia Southern,"4,793,699",514,"1,502,426"
2021,103101,Pratt No. 1 Mine,Alabama,Jefferson,Active,Surface,Independent Producer Operator,Preparation Plant,Best Coal Inc.,"P.O. Box 1608, Jasper, AL 35502",,Appalachia Southern,0,10,"25,789"
2021,103285,Narley Mine,Alabama,Jefferson,Active,Surface,Independent Producer Operator,Mine only,Best Coal Inc,"P.O. Box 1608, Jasper, AL 35502",,Appalachia Southern,130,3,"2,757"
2021,103419,Maxine-Pratt Mine,Alabama,Jefferson,Active,Underground,Independent Producer Operator,Mine only,Prospect Mining & Development,"2002 Second Ave. S., Jasper, AL 35501",,Appalachia Southern,"96,907",27,"53,479"
2021,103437,Black Warrior Mine No 1,Alabama,Jefferson,Active,Surface,Independent Producer Operator,Mine only,"Black Warrior Minerals, Inc.","P.O. Box 1190, Sumiton, AL 35148",,Appalachia Southern,"156,423",50,"123,270"
