Year,MSHA ID,Mine Name,Mine State,Mine County,Mine Status,Mine Type,Company Type,Operation Type,Operating Company,Operating Company Address,Union Code,Coal Supply Region,Production (short tons),Average Employees,Labor Hours
2018,103381,Jesse Creek H.W.M.,Alabama,Bibb,"Active, men working, not producing",Surface,Indepedent Producer Operator,Mine only,"Camellia Met Mining, Llc","1615 Kent Dairy Rd, Alabaster, AL 35007",,Appalachia Southern,"113,221",16,"38,882"
2018,100329,Oak Grove Preparation Plant,Alabama,Jefferson,Active,Underground,Operating Subsidiary,Preparation Plant,Murray Oak Grove Coal Llc,"8360 Taylors Ferry Rd, Hueytown, AL 35023",United Mine Workers Of America,Appalachia Southern,0,59,"135,296"
2018,100627,Flat Top Mine,Alabama,Jefferson,Active,Surface,Indepedent Producer Operator,Mine only,"Cedar Lake Mining, Inc","P.O. Box 1608, Jasper, AL 35502",,Appalachia Southern,"278,489",43,"122,091"
2018,100851,Oak Grove Mine,Alabama,Jefferson,Active,Underground,Operating Subsidiary,Mine only,Murray Oak Grove Coal Llc,"8360 Taylors Ferry Rd, Hueytown, AL 35023",United Mine Workers Of America,Appalachia Southern,"1,497,321",446,"869,485"
2018,101401,No 7 Mine,Alabama,Jefferson,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,"Warrior Met Coal Mining, Llc","P.O. Box 133, Brookwood, AL 35444",United Mine Workers Of America,Appalachia Southern,"5,597,175",863,"2,211,196"
2018,103101,Pratt No. 1 Mine,Alabama,Jefferson,Active,Surface,Indepedent Producer Operator,Preparation Plant,"Cane Creek, Llc","P.O. Box 1608, Jasper, AL 35502",,Appalachia Southern,0,7,"12,707"
2018,103180,Sloan Mountain Mine,Alabama,Jefferson,"Active, men working, not producing",Surface,Indepedent Producer Operator,Mine only,M S & R Equipment Company Inc,"P.O. Box 1608, Jasper, AL 35502",,Appalachia Southern,"220,827",37,"94,817"
2018,103285,Narley Mine,Alabama,Jefferson,Active,Surface,Indepedent Producer Operator,Mine only,Best Coal Inc,"P.O. Box 1608, Jasper, AL 35502",,Appalachia Southern,"140,673",19,"43,695"
2018,103419,Maxine-Pratt Mine,Alabama,Jefferson,Active,Underground,Indepedent Producer Operator,Mine only,Alaco L.L.C.,"301 Matthews Drive, Jasper, AL 35503",,Appalachia Southern,"192,294",37,"94,450"
2018,103432,Skelton Creek,Alabama,Jefferson,Active,Surface,Indepedent Producer Operator,Mine only,"Southern Mineral Resources , L","17160 Lock 17 Rd, Brookwood, AL 35444",,Appalachia Southern,"30,892",4,"5,040"
2018,103437,Black Warrior Mine No 1,Alabama,Jefferson,Active,Surface,Indepedent Producer Operator,Mine only,"Black Warrior Minerals, Inc.","P.O. Box 1190, Sumiton, AL 35148",,Appalachia Southern,"352,807",60,"157,107"
2018,103455,Weller Mine,Alabama,Jefferson,Active,Surface,Indepedent Producer Operator,Mine only,Cahaba Resources Llc,"P.O. Box 122, Vance, AL 35490",,Appalachia Southern,"146,178",28,"49,940"
2018,103523,Shannon Mine No. 3,Alabama,Jefferson,Active,Surface,Indepedent Producer Operator,Mine only,"Rjr Mining Company, Inc.","P.O. Box 1253, Cullman, AL 35056",,Appalachia Southern,"71,465",24,"29,875"
2018,103393,Buttahatchee Mine No 1,Alabama,Marion,Active,Surface,Indepedent Producer Operator,Mine only,"Cedar Lake Mining, Inc.","P.O. Box 1608, Jasper, AL 35502",,Appalachia Southern,"15,618",5,"4,954"
2018,102976,Piney Woods Preparation Plant,Alabama,Shelby,"Active, men working, not producing",Surface,Indepedent Producer Operator,Preparation Plant,"Camellia Met Mining, Llc","1615 Kent Dairy Rd, Alabaster, AL 35007",,Appalachia Southern,0,19,"45,778"
2018,102976,Piney Woods Preparation Plant,Alabama,Shelby,"Active, men working, not producing",Underground,Indepedent Producer Operator,Preparation Plant,"Camellia Met Mining, Llc","1615 Kent Dairy Rd, Alabaster, AL 35007",,Appalachia Southern,0,1,"1,907"
2018,103380,Calera,Alabama,Shelby,Active,Surface,Indepedent Producer Operator,Preparation Plant,Conrad Yelvington Distributors,"4636 Scarborough Dr, Lutz, FL 33559",,Appalachia Southern,0,9,"18,931"
2018,103380,Calera,Alabama,Shelby,Active,Underground,Indepedent Producer Operator,Preparation Plant,Conrad Yelvington Distributors,"4636 Scarborough Dr, Lutz, FL 33559",,Appalachia Southern,0,1,"2,104"
2018,103500,Murry Creek Surface Mine,Alabama,Shelby,"Active, men working, not producing",Surface,Indepedent Producer Operator,Mine only,"Camellia Met Mining, Llc","1615 Kent Dairy, Alabaster, AL 35007",,Appalachia Southern,"126,565",35,"82,121"
2018,103503,Lolley Mine No. 1,Alabama,Shelby,"Active, men working, not producing",Underground,Indepedent Producer Operator,Mine only,"Camellia Met Mining, Llc","1615 Kent Dairy Road, Alabaster, AL 35007",,Appalachia Southern,"11,091",84,"177,417"
2018,101247,No 4 Mine,Alabama,Tuscaloosa,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,"Warrior Met Coal Mining, Llc","14730 Lock 17 Rd, Brookwood, AL 35444",United Mine Workers Of America,Appalachia Southern,"2,137,810",375,"1,029,824"
2018,103172,"Searles Mine No. 2, 3, 4, 5, 6",Alabama,Tuscaloosa,Active,Surface,Indepedent Producer Operator,Mine only,"Southland Resources, Inc.","P.O. Box 770, Cottondale, AL 35453",,Appalachia Southern,"184,971",52,"126,218"
2018,103320,Davis Creek Mine,Alabama,Tuscaloosa,Permanently abandoned,Surface,Indepedent Producer Operator,Mine only,Cahaba Resources Llc,"113 Hollis Crump Drive, Jasper, AL 35501",,Appalachia Southern,"3,364",6,"6,600"
2018,100347,Choctaw Mine,Alabama,Walker,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,"Cedar Lake Mining, Inc.","P.O. Box 1608, Jasper, AL 35502",,Appalachia Southern,"195,268",57,"155,600"
2018,102901,Shoal Creek Mine,Alabama,Walker,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,"Peabody Southeast Mining, Llc","P.O. Box 1549, Jasper, AL 35501",United Mine Workers Of America,Appalachia Southern,0,1,"1,132"
2018,102901,Shoal Creek Mine,Alabama,Walker,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,"Peabody Southeast Mining, Llc","P.O. Box 1549, Jasper, AL 35501",United Mine Workers Of America,Appalachia Southern,"2,659,074",432,"930,321"
2018,102996,Jap Creek Mine,Alabama,Walker,"Active, men working, not producing",Surface,Indepedent Producer Operator,Mine only,"Mays Mining, Inc.","113 Hollis Crump Drive, Jasper, AL 35501",,Appalachia Southern,"48,092",5,"6,142"
2018,103155,Corinth Prep Plant,Alabama,Walker,Active,Surface,Indepedent Producer Operator,Preparation Plant,Prospect Mining & Development,"2002 2nd Avenue, Jasper, AL 35501",,Appalachia Southern,0,2,"4,452"
2018,103155,Corinth Prep Plant,Alabama,Walker,Active,Underground,Indepedent Producer Operator,Preparation Plant,Prospect Mining & Development,"2002 2nd Avenue, Jasper, AL 35501",,Appalachia Southern,0,18,"45,013"
2018,103342,Reese's Branch Mine,Alabama,Walker,Temporarily closed,Surface,Indepedent Producer Operator,Mine only,"Cedar Lake Mining, Inc","P.O. Box 1608, Jasper, AL 35502",,Appalachia Southern,"4,838",7,"7,981"
2018,103370,Cresent Valley Mine,Alabama,Walker,Permanently abandoned,Surface,Indepedent Producer Operator,Mine only,"Mays Mining, Inc.","113 Hollis Crump Drive, Jasper, AL 35501",,Appalachia Southern,"107,999",19,"34,862"
2018,103389,Carbon Hill Mine,Alabama,Walker,Active,Underground,Indepedent Producer Operator,Mine only,"Z & J Operating, Llc","1531 West Pinchill Road, London, KY 40744",,Appalachia Southern,"104,640",24,"58,713"
2018,103421,Slate Creek Mine,Alabama,Walker,Active,Surface,Indepedent Producer Operator,Mine only,"Yellowhammer Energy Solutions,","P.O. Box 2705, Jasper, AL 35502",,Appalachia Southern,"183,824",36,"83,001"
2018,103444,Little Spring Creek Mine,Alabama,Walker,Active,Surface,Indepedent Producer Operator,Mine only,"Cedar Lake Mining, Inc.","P.O. Box 1608, Jasper, AL 35502",,Appalachia Southern,"214,863",42,"116,105"
2018,103496,Dutton Hill Mine No. 2,Alabama,Walker,Active,Surface,Indepedent Producer Operator,Mine only,"Cedar Lake Mining, Inc.","P.O. Box 1608, Jasper, AL 35502",,Appalachia Southern,"44,804",14,"50,077"
2018,103516,No Business Creek Mine,Alabama,Walker,Active,Surface,Indepedent Producer Operator,Mine only,B & T Material Llc,"8700 Curnell Rd, Dora, AL 35062",,Appalachia Southern,"20,665",4,"7,020"
2018,103522,Mccollum Mine,Alabama,Walker,Active,Surface,Indepedent Producer Operator,Mine only,"Quality Coal Company, Inc.","P.O. Box 88, Jasper, AL 35502",,Appalachia Southern,"3,072",4,"1,980"
2018,1518914,Highwall Miner #1,Alabama,Walker,Active,Surface,Indepedent Producer Operator,Mine only,"Ckj Enterprises, Inc","P.O. Box 952, Hyden, KY 41749",,Appalachia Southern,"70,115",6,"14,640"
2018,1519735,Highwall Miner #2,Alabama,Walker,Permanently abandoned,Surface,Indepedent Producer Operator,Mine only,"Cedar Lake Mining, Inc.","P.O. Box 952, Hyden, KY 41749",,Appalachia Southern,"5,102",3,"1,713"
2018,5000030,Usibelli,Alaska,Denali,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,Usibelli Coal Mine Inc,"P.O. Box 1000, Healy, AK 99743","International Brotherhood Of Teamsters, Chauffeurs, Warehouse",Western,"901,641",99,"184,329"
2018,201195,Kayenta Mine,Arizona,Navajo,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,Peabody Western Coal Company,"P.O. Box 650, Kayenta, AZ 86033",United Mine Workers Of America,Western,"6,550,417",416,"1,003,422"
2018,503672,West Elk Mine,Colorado,Gunnison,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,"Mountain Coal Company, L.L.C.","5174 Highway 133, Somerset, CO 81434",,Uinta Region,"4,674,833",300,"660,221"
2018,504864,King Ii,Colorado,La Plata,Active,Underground,Indepedent Producer Operator,Mine only,Gcc Energy Llc,"6473 County Road 120, Hesperus, CO 81326",,Western,"615,947",83,"179,752"
2018,502838,Trapper Mine,Colorado,Moffat,Active,Surface,Indepedent Producer Operator,Mine only,Trapper Mining Inc,"P.O. Box 187, Craig, CO 81626",International Union Of Operation Engineers,Uinta Region,"2,140,461",199,"410,783"
2018,502962,Colowyo Mine,Colorado,Moffat,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,Colowyo Coal Company L P,"5731 State Highway 13, Meeker, CO 81641",,Uinta Region,"1,470,896",229,"453,703"
2018,503505,Deserado Mine,Colorado,Rio Blanco,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,Blue Mountain Energy Inc,"3607 County Road #65, Rangely, CO 81648",United Mine Workers Of America,Uinta Region,"2,073,860",162,"342,141"
2018,503836,Foidel Creek Mine,Colorado,Routt,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,Peabody Twentymile Mining Llc,"29515 Routt Cnty Rd#27, Oak Creek, CO 80467",,Uinta Region,"3,049,511",285,"622,523"
2018,1103189,Mc#1 Mine,Illinois,Franklin,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,M-Class Mining Llc,"11351 N. Thompsonville Rd., Macedonia, IL 62860",,Illinois Basin,"14,460,951",444,"1,162,078"
2018,1103017,Wildcat Hills Mine - Cottage G,Illinois,Gallatin,Active,Surface,Operating Subsidiary,Mine only,"Peabody Midwest Mining, Llc","566 Dickeyville Rd, Lynnville, IN 47619",,Illinois Basin,"407,823",52,"117,413"
2018,1103203,Mine No. 1,Illinois,Hamilton,Active,Underground,Indepedent Producer Operator,Mine only,"Hamilton County Coal, Llc","County Road 500 East, Dahlgren, IL 62828",,Illinois Basin,"6,298,997",319,"780,545"
2018,1103242,Hamilton County Coal Processin,Illinois,Hamilton,Active,Underground,Indepedent Producer Operator,Preparation Plant,"Hamilton County Coal, Llc","18031 County Rd 500 East, Dahlgren, IL 62828",,Illinois Basin,0,42,"91,476"
