"FIPS","State","County","Health.Outcomes.Z.Score","Health.Outcomes.Rank","Health.Factors.Z.Score","Health.Factors.Rank","year"
42017,"Pennsylvania","Bucks",-1.11,7,-0.97,2,2018
42019,"Pennsylvania","Butler",-1.21,5,-0.68,7,2018
42021,"Pennsylvania","Cambria",1.14,64,0.33,59,2018
42023,"Pennsylvania","Cameron",-0.55,14,0.05,33,2018
42025,"Pennsylvania","Carbon",0.57,58,0.26,54,2018
42027,"Pennsylvania","Centre",-1.87,2,-0.7,5,2018
42029,"Pennsylvania","Chester",-1.91,1,-0.93,3,2018
42031,"Pennsylvania","Clarion",0.51,56,0.11,43,2018
42033,"Pennsylvania","Clearfield",0.16,36,0.19,48,2018
42035,"Pennsylvania","Clinton",-0.28,20,0.05,36,2018
42037,"Pennsylvania","Columbia",0.28,42,-0.07,25,2018
42039,"Pennsylvania","Crawford",0.13,35,0.09,38,2018
42041,"Pennsylvania","Cumberland",-1.21,6,-0.8,4,2018
42043,"Pennsylvania","Dauphin",0.31,43,-0.07,26,2018
42045,"Pennsylvania","Delaware",0.36,49,-0.29,12,2018
42047,"Pennsylvania","Elk",-0.13,26,-0.24,14,2018
42049,"Pennsylvania","Erie",0.48,53,0.26,53,2018
42051,"Pennsylvania","Fayette",1.53,66,1.06,66,2018
42053,"Pennsylvania","Forest",-0.27,21,0.69,65,2018
42055,"Pennsylvania","Franklin",-0.87,9,-0.21,16,2018
42057,"Pennsylvania","Fulton",1.31,65,0.11,41,2018
42059,"Pennsylvania","Greene",1.02,63,0.6,63,2018
42061,"Pennsylvania","Huntingdon",-0.04,30,0.19,47,2018
42063,"Pennsylvania","Indiana",0.34,46,0.67,64,2018
42065,"Pennsylvania","Jefferson",0.47,52,0.2,49,2018
42067,"Pennsylvania","Juniata",0.2,39,-0.11,22,2018
42069,"Pennsylvania","Lackawanna",0.48,54,0.1,40,2018
42071,"Pennsylvania","Lancaster",-0.88,8,-0.42,10,2018
42073,"Pennsylvania","Lawrence",0.96,62,0.38,62,2018
42075,"Pennsylvania","Lebanon",-0.44,15,-0.44,9,2018
42077,"Pennsylvania","Lehigh",-0.33,18,-0.03,27,2018
42079,"Pennsylvania","Luzerne",0.89,60,0.27,56,2018
42081,"Pennsylvania","Lycoming",0.27,41,0.05,35,2018
42083,"Pennsylvania","McKean",0.39,51,0.35,60,2018
42085,"Pennsylvania","Mercer",0.33,44,0.14,44,2018
42087,"Pennsylvania","Mifflin",0.5,55,0.06,37,2018
42089,"Pennsylvania","Monroe",0.56,57,0.21,50,2018
42091,"Pennsylvania","Montgomery",-1.58,4,-1.14,1,2018
42093,"Pennsylvania","Montour",-0.06,28,-0.68,6,2018
42095,"Pennsylvania","Northampton",-0.78,11,-0.17,18,2018
42097,"Pennsylvania","Northumberland",0.37,50,0.18,46,2018
42099,"Pennsylvania","Perry",-0.09,27,-0.15,20,2018
42101,"Pennsylvania","Philadelphia",2.54,67,1.38,67,2018
42103,"Pennsylvania","Pike",-0.7,12,-0.23,15,2018
42105,"Pennsylvania","Potter",-0.23,23,0.27,55,2018
42107,"Pennsylvania","Schuylkill",0.73,59,0.22,51,2018
42109,"Pennsylvania","Snyder",-0.65,13,-0.21,17,2018
42111,"Pennsylvania","Somerset",0.11,34,0.32,58,2018
42113,"Pennsylvania","Sullivan",0.03,33,0.18,45,2018
42115,"Pennsylvania","Susquehanna",0.9,61,0.36,61,2018
42117,"Pennsylvania","Tioga",-0.4,16,0.09,39,2018
42119,"Pennsylvania","Union",-1.68,3,-0.59,8,2018
42121,"Pennsylvania","Venango",0.35,48,0.11,42,2018
42123,"Pennsylvania","Warren",0.2,38,-0.11,21,2018
42125,"Pennsylvania","Washington",-0.27,22,-0.1,23,2018
42127,"Pennsylvania","Wayne",-0.14,25,0.01,31,2018
42129,"Pennsylvania","Westmoreland",-0.35,17,-0.17,19,2018
42131,"Pennsylvania","Wyoming",-0.04,29,-0.02,28,2018
42133,"Pennsylvania","York",-0.32,19,-0.27,13,2018
42001,"Pennsylvania","Adams",-0.66,12,-0.54,9,2019
42003,"Pennsylvania","Allegheny",0.12,34,-0.03,25,2019
42005,"Pennsylvania","Armstrong",0.62,59,0.27,49,2019
42007,"Pennsylvania","Beaver",0.37,48,0.16,45,2019
42009,"Pennsylvania","Bedford",-0.58,14,-0.09,23,2019
42011,"Pennsylvania","Berks",0.02,32,-0.02,29,2019
42013,"Pennsylvania","Blair",0.41,51,0.07,37,2019
42015,"Pennsylvania","Bradford",-0.16,24,0.14,43,2019
42017,"Pennsylvania","Bucks",-1.01,6,-1.01,2,2019
42019,"Pennsylvania","Butler",-1.01,7,-0.67,7,2019
42021,"Pennsylvania","Cambria",1.5,65,0.35,56,2019
42023,"Pennsylvania","Cameron",-0.38,19,0.1,41,2019
42025,"Pennsylvania","Carbon",0.45,52,0.3,51,2019
42027,"Pennsylvania","Centre",-1.88,2,-0.77,5,2019
42029,"Pennsylvania","Chester",-1.83,3,-0.95,3,2019
42031,"Pennsylvania","Clarion",0.18,37,0.17,46,2019
42033,"Pennsylvania","Clearfield",0.16,35,0.27,48,2019
42035,"Pennsylvania","Clinton",-0.67,11,0.07,38,2019
42037,"Pennsylvania","Columbia",0.33,45,0.02,30,2019
42039,"Pennsylvania","Crawford",0.25,41,0.09,40,2019
42041,"Pennsylvania","Cumberland",-1.03,5,-0.91,4,2019
42043,"Pennsylvania","Dauphin",0.4,49,0.1,42,2019
42045,"Pennsylvania","Delaware",0.35,47,-0.42,11,2019
42047,"Pennsylvania","Elk",-0.19,23,-0.39,12,2019
42049,"Pennsylvania","Erie",0.5,55,0.32,53,2019
42051,"Pennsylvania","Fayette",1.7,66,1.09,66,2019
42053,"Pennsylvania","Forest",-0.36,21,0.61,65,2019
42055,"Pennsylvania","Franklin",-0.61,13,-0.19,19,2019
42057,"Pennsylvania","Fulton",0.74,61,0.03,32,2019
42059,"Pennsylvania","Greene",0.89,62,0.55,63,2019
42061,"Pennsylvania","Huntingdon",0.21,39,0.33,55,2019
42063,"Pennsylvania","Indiana",0.46,53,0.52,62,2019
42065,"Pennsylvania","Jefferson",-0.01,30,0.09,39,2019
42067,"Pennsylvania","Juniata",-0.14,26,-0.18,20,2019
42069,"Pennsylvania","Lackawanna",0.41,50,0.04,33,2019
42071,"Pennsylvania","Lancaster",-0.94,8,-0.48,10,2019
42073,"Pennsylvania","Lawrence",1.18,64,0.47,61,2019
42075,"Pennsylvania","Lebanon",-0.37,20,-0.37,14,2019
42077,"Pennsylvania","Lehigh",-0.42,18,-0.07,24,2019
42079,"Pennsylvania","Luzerne",0.92,63,0.42,60,2019
42081,"Pennsylvania","Lycoming",0.17,36,0.05,35,2019
42083,"Pennsylvania","McKean",0.47,54,0.38,58,2019
42085,"Pennsylvania","Mercer",0.34,46,0.06,36,2019
42087,"Pennsylvania","Mifflin",0.61,58,0.14,44,2019
42089,"Pennsylvania","Monroe",0.61,57,0.26,47,2019
42091,"Pennsylvania","Montgomery",-1.56,4,-1.13,1,2019
42093,"Pennsylvania","Montour",-0.44,17,-0.75,6,2019
42095,"Pennsylvania","Northampton",-0.78,9,-0.2,17,2019
42097,"Pennsylvania","Northumberland",0.3,42,0.38,57,2019
42099,"Pennsylvania","Perry",-0.05,28,-0.19,18,2019
42101,"Pennsylvania","Philadelphia",2.38,67,1.44,67,2019
42103,"Pennsylvania","Pike",-0.53,16,-0.11,22,2019
42105,"Pennsylvania","Potter",0.32,43,0.59,64,2019
42107,"Pennsylvania","Schuylkill",0.67,60,0.29,50,2019
42109,"Pennsylvania","Snyder",-0.74,10,-0.23,16,2019
42111,"Pennsylvania","Somerset",0.01,31,0.32,54,2019
42113,"Pennsylvania","Sullivan",0.2,38,-0.02,27,2019
42115,"Pennsylvania","Susquehanna",0.22,40,0.41,59,2019
42117,"Pennsylvania","Tioga",-0.56,15,0.04,34,2019
42119,"Pennsylvania","Union",-1.94,1,-0.62,8,2019
42121,"Pennsylvania","Venango",0.54,56,0.31,52,2019
42123,"Pennsylvania","Warren",-0.04,29,-0.02,28,2019
42125,"Pennsylvania","Washington",0.03,33,-0.15,21,2019
42127,"Pennsylvania","Wayne",-0.06,27,-0.03,26,2019
42129,"Pennsylvania","Westmoreland",-0.14,25,-0.38,13,2019
42131,"Pennsylvania","Wyoming",0.32,44,0.02,31,2019
42133,"Pennsylvania","York",-0.29,22,-0.27,15,2019
42001,"Pennsylvania","Adams",-0.44,17,-0.49,10,2020
42003,"Pennsylvania","Allegheny",-0.51,14,-0.2,20,2020
42005,"Pennsylvania","Armstrong",0.74,58,0.33,55,2020
42007,"Pennsylvania","Beaver",0.25,44,0.34,56,2020
42009,"Pennsylvania","Bedford",-0.44,16,-0.18,22,2020
42011,"Pennsylvania","Berks",0.01,36,-0.02,26,2020
42013,"Pennsylvania","Blair",0.24,43,0.12,37,2020
42015,"Pennsylvania","Bradford",-0.18,25,0.15,40,2020
42017,"Pennsylvania","Bucks",-1.24,5,-0.96,2,2020
42019,"Pennsylvania","Butler",-1.14,6,-0.62,7,2020
42021,"Pennsylvania","Cambria",1.33,64,0.23,44,2020
42023,"Pennsylvania","Cameron",0.22,42,-0.02,27,2020
42025,"Pennsylvania","Carbon",0.74,59,0.27,49,2020
42027,"Pennsylvania","Centre",-1.82,2,-0.8,5,2020
42029,"Pennsylvania","Chester",-1.66,3,-0.96,3,2020
42031,"Pennsylvania","Clarion",-0.13,27,0.13,38,2020
42033,"Pennsylvania","Clearfield",0.26,45,0.45,62,2020
42035,"Pennsylvania","Clinton",-0.54,13,0.11,35,2020
42037,"Pennsylvania","Columbia",0.32,47,-0.05,25,2020
42039,"Pennsylvania","Crawford",0.53,52,0.25,48,2020
42041,"Pennsylvania","Cumberland",-1.06,7,-0.84,4,2020
42043,"Pennsylvania","Dauphin",0.49,50,0.15,39,2020
42045,"Pennsylvania","Delaware",-0.01,34,-0.46,12,2020
42047,"Pennsylvania","Elk",0.03,37,-0.47,11,2020
42049,"Pennsylvania","Erie",0.68,57,0.39,58,2020
42051,"Pennsylvania","Fayette",1.72,66,1.01,66,2020
42053,"Pennsylvania","Forest",-0.33,20,0.68,65,2020
42055,"Pennsylvania","Franklin",-0.5,15,-0.14,24,2020
42057,"Pennsylvania","Fulton",-0.01,35,0.06,32,2020
42059,"Pennsylvania","Greene",0.84,61,0.47,63,2020
42061,"Pennsylvania","Huntingdon",0.19,39,0.28,51,2020
42063,"Pennsylvania","Indiana",0.3,46,0.37,57,2020
42065,"Pennsylvania","Jefferson",-0.06,32,0.06,31,2020
42067,"Pennsylvania","Juniata",-0.41,18,-0.2,21,2020
42069,"Pennsylvania","Lackawanna",0.84,60,0.25,47,2020
42071,"Pennsylvania","Lancaster",-0.84,9,-0.59,9,2020
42073,"Pennsylvania","Lawrence",1.37,65,0.32,54,2020
42075,"Pennsylvania","Lebanon",-0.36,19,-0.29,16,2020
42077,"Pennsylvania","Lehigh",-0.26,22,0.06,33,2020
42079,"Pennsylvania","Luzerne",0.94,62,0.52,64,2020
42081,"Pennsylvania","Lycoming",-0.09,29,0.02,29,2020
42083,"Pennsylvania","McKean",0.67,56,0.42,61,2020
42085,"Pennsylvania","Mercer",0.54,53,0.27,50,2020
42087,"Pennsylvania","Mifflin",0.21,41,0.32,53,2020
42089,"Pennsylvania","Monroe",0.18,38,0.21,43,2020
42091,"Pennsylvania","Montgomery",-1.62,4,-1.13,1,2020
42093,"Pennsylvania","Montour",-0.7,10,-0.77,6,2020
42095,"Pennsylvania","Northampton",-0.64,11,-0.27,17,2020
42097,"Pennsylvania","Northumberland",0.66,55,0.39,59,2020
42099,"Pennsylvania","Perry",-0.07,30,-0.35,14,2020
42101,"Pennsylvania","Philadelphia",2.22,67,1.35,67,2020
42103,"Pennsylvania","Pike",-0.26,23,0.05,30,2020
42105,"Pennsylvania","Potter",0.49,51,0.42,60,2020
42107,"Pennsylvania","Schuylkill",0.98,63,0.19,42,2020
42109,"Pennsylvania","Snyder",-0.94,8,-0.23,19,2020
42111,"Pennsylvania","Somerset",-0.07,31,0.23,45,2020
42113,"Pennsylvania","Sullivan",-0.1,28,0.12,36,2020
42115,"Pennsylvania","Susquehanna",0.21,40,0.3,52,2020
42117,"Pennsylvania","Tioga",-0.55,12,0.17,41,2020
42119,"Pennsylvania","Union",-1.88,1,-0.6,8,2020
42121,"Pennsylvania","Venango",0.35,48,0.25,46,2020
42123,"Pennsylvania","Warren",-0.15,26,-0.16,23,2020
42125,"Pennsylvania","Washington",-0.03,33,-0.32,15,2020
42127,"Pennsylvania","Wayne",-0.29,21,-0.02,28,2020
42129,"Pennsylvania","Westmoreland",0.35,49,-0.24,18,2020
42131,"Pennsylvania","Wyoming",0.63,54,0.1,34,2020
42133,"Pennsylvania","York",-0.24,24,-0.36,13,2020
