"","County","totpop","medage","totpopwhite","bachdegree","medincome","perc.white","perc.bachdegree","year"
"1","Adams",101546,42.6,93557,9485,26889,92.1326295472003,9.34059441041498,2013
"2","Allegheny",1231527,40.8,999483,199871,28839,81.15802576801,16.229526433444,2013
"3","Armstrong",68107,45.7,0,5104,22995,0,7.49409018162597,2013
"4","Beaver",170115,45,155039,21289,26470,91.1377597507568,12.5144755018664,2013
"5","Berks",413521,39.9,342426,39593,27801,82.8074027679368,9.57460443363215,2013
"6","Blair",126314,43.1,0,12498,22596,0,9.89439017052742,2013
"7","Bucks",626976,42.6,558137,101025,34287,89.0204728729648,16.113056959118,2013
"8","Butler",185476,43,178509,27267,29204,96.2437188638961,14.7010934029201,2013
"9","Cambria",140499,44.4,131551,11808,22878,93.6312713969494,8.40433027993082,2013
"10","Carbon",64786,45,62093,4396,22593,95.843237736548,6.78541660235236,2013
"11","Centre",155403,30.2,138848,18590,23619,89.347052502204,11.9624460274255,2013
"12","Chester",509468,40.3,442682,100511,36968,86.8910314288631,19.7286188730205,2013
"13","Clearfield",81174,43.4,77409,6482,20681,95.3618153595979,7.98531549510927,2013
"14","Columbia",66797,39.7,0,5854,23213,0,8.7638666407174,2013
"15","Crawford",87376,42.4,83856,6966,22325,95.9714338033327,7.97244094488189,2013
"16","Cumberland",241212,40.8,217130,32612,30127,90.0162512644479,13.5200570452548,2013
"17","Dauphin",270937,39.2,194691,32730,30513,71.8584025068558,12.0802991101252,2013
"18","Delaware",561973,38.7,397293,80649,31603,70.6961010582359,14.3510453349182,2013
"19","Erie",280294,38.7,246992,33614,22950,88.1189037225199,11.9924079716298,2013
"20","Fayette",134999,44.1,0,9366,21001,0,6.93782916910496,2013
"21","Franklin",152085,41,141912,12270,30505,93.3109774139461,8.06785679061051,2013
"22","Indiana",87745,39.8,83133,7700,21485,94.7438600490056,8.77542879936179,2013
"23","Lackawanna",213931,42,199502,24751,23614,93.2553019431499,11.5696182413956,2013
"24","Lancaster",529600,38.7,467534,60413,27532,88.2805891238671,11.4072885196375,2013
"25","Lawrence",89333,44.7,0,7626,23480,0,8.53659901716051,2013
"26","Lebanon",135486,41.5,118941,11403,28452,87.7884061821886,8.41636774279261,2013
"27","Lehigh",355092,40,278577,42865,27268,78.4520631273022,12.0715194935397,2013
"28","Luzerne",320103,43,287688,32049,24435,89.8735719440305,10.0120898585768,2013
"29","Lycoming",116754,40.5,107718,9498,22298,92.2606505986947,8.13505318875585,2013
"30","Mercer",115195,43.9,105171,10086,22995,91.2982334302704,8.75558835018881,2013
"31","Monroe",167148,42,129382,16241,25686,77.4056524756503,9.71653863641802,2013
"32","Montgomery",812376,41.2,658855,146908,37003,81.1022236008942,18.0837444730026,2013
"33","Northampton",299791,41.6,255929,36786,28973,85.3691405012158,12.2705484821092,2013
"34","Northumberland",94076,43.8,89837,6180,23651,95.4940686253667,6.56915685190697,2013
"35","Philadelphia",1553165,33.7,646435,151612,21944,41.6204975002656,9.76148702810069,2013
"36","Schuylkill",146920,43.8,138620,10448,24293,94.350667029676,7.11135311734277,2013
"37","Somerset",76520,45.5,73228,6216,22556,95.697856769472,8.12336644014637,2013
"38","Washington",208206,44.3,195736,26309,27352,94.0107393638992,12.636043149573,2013
"39","Westmoreland",362437,46.1,343870,45112,26812,94.8771786544972,12.4468528323543,2013
"40","York",438965,40.8,391637,43657,28152,89.2182748055084,9.94543984144522,2013
