"","County","Health.Outcomes.Z.Score","Health.Outcomes.Rank","Health.Factors.Z.Score","Health.Factors.Rank","year","sum.coal.prod","year.from.peak.2019","totpop","medage","totpopwhite","bachdegree","medincome","perc.white","perc.bachdegree"
"53","Potter",0.32,43,0.59,64,2019,"0","37",NA,NA,NA,NA,NA,NA,NA
"54","Schuylkill",0.67,60,0.29,50,2019,"80374465","14.7400499773155",141359,44.7,133171,11939,30798,94.2076556851704,8.4458718581767
"55","Snyder",-0.74,10,-0.23,16,2019,"0","37",NA,NA,NA,NA,NA,NA,NA
"56","Somerset",0.01,31,0.32,54,2019,"44044269","14.9835286629459",73447,46.4,69857,6310,27102,95.1121216659632,8.5912290495187
"57","Sullivan",0.2,38,-0.02,27,2019,"0","37",NA,NA,NA,NA,NA,NA,NA
"58","Susquehanna",0.22,40,0.41,59,2019,"0","37",NA,NA,NA,NA,NA,NA,NA
"59","Tioga",-0.56,15,0.04,34,2019,"0","37",NA,NA,NA,NA,NA,NA,NA
"60","Union",-1.94,1,-0.62,8,2019,"0","37",NA,NA,NA,NA,NA,NA,NA
"61","Venango",0.54,56,0.31,52,2019,"2885071","16.0726664959025",NA,NA,NA,NA,NA,NA,NA
"62","Warren",-0.04,29,-0.02,28,2019,"0","37",NA,NA,NA,NA,NA,NA,NA
"63","Washington",0.03,33,-0.15,21,2019,"10426900","18.7586055299273",206865,44.3,192989,30201,32467,93.2922437338361,14.5993764049017
"64","Wayne",-0.06,27,-0.03,26,2019,"0","37",NA,NA,NA,NA,NA,NA,NA
"65","Westmoreland",-0.14,25,-0.38,13,2019,"12280685","18.5551656116902",348899,47,329199,49531,32229,94.3536668204839,14.1963720159702
"66","Wyoming",0.32,44,0.02,31,2019,"0","37",NA,NA,NA,NA,NA,NA,NA
"67","York",-0.29,22,-0.27,15,2019,"0","37",449058,41,391737,54403,35477,87.2352791844261,12.114916113286
