"","County","totpop","medage","totpoprace","totpopwhite","totpopeduc","bachdegree","medincome","perc.white","perc.bachdegree","year","coal.prod.by.year","year.peak.prod","sum.coal.prod"
"1308","Venango",NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,41313,2002.9273335041,2885071
"1309","Venango",NA,NA,NA,NA,NA,NA,NA,NA,NA,1985,52888,2002.9273335041,2885071
"1310","Venango",NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,48150,2002.9273335041,2885071
"1311","Venango",NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,75290,2002.9273335041,2885071
"1312","Venango",NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,72298,2002.9273335041,2885071
"1313","Venango",NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,80846,2002.9273335041,2885071
"1314","Venango",NA,NA,NA,NA,NA,NA,NA,NA,NA,1990,72338,2002.9273335041,2885071
"1315","Venango",NA,NA,NA,NA,NA,NA,NA,NA,NA,1991,96784,2002.9273335041,2885071
"1316","Venango",NA,NA,NA,NA,NA,NA,NA,NA,NA,1992,86771,2002.9273335041,2885071
"1317","Venango",NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,52720,2002.9273335041,2885071
"1318","Venango",NA,NA,NA,NA,NA,NA,NA,NA,NA,1996,4849,2002.9273335041,2885071
"1319","Venango",NA,NA,NA,NA,NA,NA,NA,NA,NA,1997,76623,2002.9273335041,2885071
"1320","Venango",NA,NA,NA,NA,NA,NA,NA,NA,NA,1998,59445,2002.9273335041,2885071
"1321","Venango",NA,NA,NA,NA,NA,NA,NA,NA,NA,1999,154895,2002.9273335041,2885071
"1322","Venango",NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,123257,2002.9273335041,2885071
"1323","Venango",NA,NA,NA,NA,NA,NA,NA,NA,NA,2001,128019,2002.9273335041,2885071
"1324","Venango",NA,NA,NA,NA,NA,NA,NA,NA,NA,2002,129705,2002.9273335041,2885071
"1325","Venango",NA,NA,NA,NA,NA,NA,NA,NA,NA,2003,51401,2002.9273335041,2885071
"1326","Venango",NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,127428,2002.9273335041,2885071
"1327","Venango",NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,118798,2002.9273335041,2885071
"1328","Venango",NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,76492,2002.9273335041,2885071
"1329","Venango",NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,140425,2002.9273335041,2885071
"1330","Venango",NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,91155,2002.9273335041,2885071
"1331","Venango",NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,40282,2002.9273335041,2885071
"1332","Venango",NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,100389,2002.9273335041,2885071
"1333","Venango",NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,160218,2002.9273335041,2885071
"1334","Venango",NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,112139,2002.9273335041,2885071
"1335","Venango",NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,51215,2002.9273335041,2885071
"1336","Venango",NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,70103,2002.9273335041,2885071
"1337","Venango",NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,95360,2002.9273335041,2885071
"1338","Venango",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,40282,2002.9273335041,2885071
"1339","Venango",NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,40282,2002.9273335041,2885071
"1340","Venango",NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,40282,2002.9273335041,2885071
"1341","Venango",NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,40282,2002.9273335041,2885071
"1342","Venango",NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,40282,2002.9273335041,2885071
"1343","Venango",NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,80564,2002.9273335041,2885071
"1344","Washington",NA,NA,NA,NA,NA,NA,NA,NA,NA,1983,22505,2000.24139447007,10426900
"1345","Washington",NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,67825,2000.24139447007,10426900
"1346","Washington",NA,NA,NA,NA,NA,NA,NA,NA,NA,1985,141873,2000.24139447007,10426900
"1347","Washington",NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,258868,2000.24139447007,10426900
"1348","Washington",NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,267511,2000.24139447007,10426900
"1349","Washington",NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,302714,2000.24139447007,10426900
"1350","Washington",NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,390964,2000.24139447007,10426900
"1351","Washington",NA,NA,NA,NA,NA,NA,NA,NA,NA,1990,447910,2000.24139447007,10426900
"1352","Washington",NA,NA,NA,NA,NA,NA,NA,NA,NA,1991,429071,2000.24139447007,10426900
"1353","Washington",NA,NA,NA,NA,NA,NA,NA,NA,NA,1992,386844,2000.24139447007,10426900
"1354","Washington",NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,404946,2000.24139447007,10426900
"1355","Washington",NA,NA,NA,NA,NA,NA,NA,NA,NA,1994,454063,2000.24139447007,10426900
"1356","Washington",NA,NA,NA,NA,NA,NA,NA,NA,NA,1995,254616,2000.24139447007,10426900
"1357","Washington",NA,NA,NA,NA,NA,NA,NA,NA,NA,1996,375347,2000.24139447007,10426900
"1358","Washington",NA,NA,NA,NA,NA,NA,NA,NA,NA,1997,319392,2000.24139447007,10426900
"1359","Washington",NA,NA,NA,NA,NA,NA,NA,NA,NA,1998,232244,2000.24139447007,10426900
"1360","Washington",NA,NA,NA,NA,NA,NA,NA,NA,NA,1999,372452,2000.24139447007,10426900
"1361","Washington",NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,400995,2000.24139447007,10426900
"1362","Washington",NA,NA,NA,NA,NA,NA,NA,NA,NA,2001,432254,2000.24139447007,10426900
"1363","Washington",NA,NA,NA,NA,NA,NA,NA,NA,NA,2002,367602,2000.24139447007,10426900
"1364","Washington",NA,NA,NA,NA,NA,NA,NA,NA,NA,2003,354523,2000.24139447007,10426900
"1365","Washington",NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,346674,2000.24139447007,10426900
"1366","Washington",NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,120871,2000.24139447007,10426900
"1367","Washington",NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,60984,2000.24139447007,10426900
"1368","Westmoreland",NA,NA,NA,NA,NA,NA,NA,NA,NA,1983,17091,2000.44483438831,12280685
"1369","Westmoreland",NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,57213,2000.44483438831,12280685
"1370","Westmoreland",NA,NA,NA,NA,NA,NA,NA,NA,NA,1985,132167,2000.44483438831,12280685
"1371","Westmoreland",NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,390427,2000.44483438831,12280685
"1372","Westmoreland",NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,370078,2000.44483438831,12280685
"1373","Westmoreland",NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,352978,2000.44483438831,12280685
"1374","Westmoreland",NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,411867,2000.44483438831,12280685
"1375","Westmoreland",NA,NA,NA,NA,NA,NA,NA,NA,NA,1990,406258,2000.44483438831,12280685
"1376","Westmoreland",NA,NA,NA,NA,NA,NA,NA,NA,NA,1991,413760,2000.44483438831,12280685
"1377","Westmoreland",NA,NA,NA,NA,NA,NA,NA,NA,NA,1992,539315,2000.44483438831,12280685
"1378","Westmoreland",NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,591144,2000.44483438831,12280685
"1379","Westmoreland",NA,NA,NA,NA,NA,NA,NA,NA,NA,1994,604765,2000.44483438831,12280685
"1380","Westmoreland",NA,NA,NA,NA,NA,NA,NA,NA,NA,1995,535077,2000.44483438831,12280685
"1381","Westmoreland",NA,NA,NA,NA,NA,NA,NA,NA,NA,1996,455307,2000.44483438831,12280685
"1382","Westmoreland",NA,NA,NA,NA,NA,NA,NA,NA,NA,1997,395648,2000.44483438831,12280685
"1383","Westmoreland",NA,NA,NA,NA,NA,NA,NA,NA,NA,1998,337269,2000.44483438831,12280685
"1384","Westmoreland",NA,NA,NA,NA,NA,NA,NA,NA,NA,1999,461552,2000.44483438831,12280685
"1385","Westmoreland",NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,275232,2000.44483438831,12280685
"1386","Westmoreland",NA,NA,NA,NA,NA,NA,NA,NA,NA,2001,361646,2000.44483438831,12280685
"1387","Westmoreland",NA,NA,NA,NA,NA,NA,NA,NA,NA,2002,337372,2000.44483438831,12280685
"1388","Westmoreland",NA,NA,NA,NA,NA,NA,NA,NA,NA,2003,369880,2000.44483438831,12280685
"1389","Westmoreland",NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,271980,2000.44483438831,12280685
"1390","Westmoreland",NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,181447,2000.44483438831,12280685
"1391","Westmoreland",NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,151817,2000.44483438831,12280685
"1392","Berks",NA,NA,NA,NA,NA,NA,NA,NA,NA,1999,80564,2008.06666666667,1208460
"1393","Berks",NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,80564,2008.06666666667,1208460
"1394","Berks",NA,NA,NA,NA,NA,NA,NA,NA,NA,2001,80564,2008.06666666667,1208460
"1395","Berks",NA,NA,NA,NA,NA,NA,NA,NA,NA,2002,80564,2008.06666666667,1208460
"1396","Berks",NA,NA,NA,NA,NA,NA,NA,NA,NA,2003,80564,2008.06666666667,1208460
"1397","Berks",NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,80564,2008.06666666667,1208460
"1398","Cameron",NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,48015,2008.96616310354,455686
"1399","Cameron",NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,36389,2008.96616310354,455686
"1400","Cameron",NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,50086,2008.96616310354,455686
"1401","Cameron",NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,51319,2008.96616310354,455686
"1402","Cameron",NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,52026,2008.96616310354,455686
"1403","Cameron",NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,53553,2008.96616310354,455686
"1404","Cameron",NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,109148,2008.96616310354,455686
"1405","Cameron",NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,55150,2008.96616310354,455686
