"","County","totpop","medage","totpopwhite","bachdegree","medincome","perc.white","perc.bachdegree","year"
"1","Adams",102323,40.8,94802,6430,27795,92.6497463913294,6.28402216510462,2009
"2","Allegheny",1218494,41.1,1006793,173322,26029,82.6260121100309,14.2242801359711,2009
"3","Armstrong",67851,44.6,0,5096,22798,0,7.51057464149386,2009
"4","Beaver",171673,43.8,157984,15536,23879,92.0261194247202,9.04976321261934,2009
"5","Berks",407125,39.1,343479,39664,26857,84.3669634633098,9.74246238870126,2009
"6","Blair",126122,42.1,121932,11181,22506,96.6778198886792,8.86522573381329,2009
"7","Bucks",626015,41.6,568762,88455,33572,90.8543724990615,14.1298531185355,2009
"8","Butler",184694,41.3,179422,23876,27707,97.1455488537798,12.9273284459701,2009
"9","Cambria",143998,43.6,136406,12201,20531,94.7277045514521,8.47303434769927,2009
"10","Centre",146212,27.4,132422,16909,20019,90.5684895904577,11.5647142505403,2009
"11","Chester",498894,39.4,438127,95527,36390,87.8196570814642,19.1477548336921,2009
"12","Clearfield",82324,42.4,0,4993,20047,0,6.06506000680239,2009
"13","Columbia",65111,39.7,0,5605,20912,0,8.60837646480625,2009
"14","Crawford",88521,41.5,84852,5949,20136,95.8552207950656,6.72043921781272,2009
"15","Cumberland",232483,39.7,214897,32304,28912,92.4355759345845,13.8952095422031,2009
"16","Dauphin",258934,39.2,197653,31420,28585,76.333351355944,12.1343662863896,2009
"17","Delaware",558028,38.4,418397,71264,30234,74.9777788928154,12.7706853419542,2009
"18","Erie",280291,38.5,252371,28680,21547,90.038923832731,10.2322229397305,2009
"19","Fayette",142605,41.9,134493,9903,19560,94.3115599032292,6.94435678973388,2009
"20","Franklin",144994,40.4,136927,11939,25265,94.4363215029587,8.23413382622729,2009
"21","Indiana",87450,38.7,84085,5557,19116,96.1520869068039,6.35448827901658,2009
"22","Lackawanna",208801,41.6,197602,23869,22951,94.6365199400386,11.4314586615964,2009
"23","Lancaster",507766,37.8,464018,51944,26535,91.3842202904488,10.2299090525951,2009
"24","Lawrence",90160,44,84774,8137,21484,94.0261756876664,9.02506654835847,2009
"25","Lebanon",130506,40.6,117613,11555,26174,90.1207607313074,8.85399904985211,2009
"26","Lehigh",343519,39.2,283357,39747,25719,82.4865582398645,11.5705390385976,2009
"27","Luzerne",312845,42.3,290235,27230,22719,92.7727788521472,8.70399079416324,2009
"28","Lycoming",116840,40.6,108446,9798,21220,92.8158165011982,8.38582677165354,2009
"29","Mercer",116071,41.9,107316,10172,20909,92.4572029189031,8.76360158868279,2009
"30","Monroe",166355,39.2,134933,18433,25133,81.111478464729,11.0805205734724,2009
"31","Montgomery",782339,40.3,657726,136772,36977,84.0717387219607,17.4824468676622,2009
"32","Northampton",298990,40.2,262631,34079,27138,87.8393926218268,11.3980400682297,2009
"33","Northumberland",91311,43.1,0,5947,20514,0,6.51290644062599,2009
"34","Philadelphia",1547297,34.2,682914,133379,21841,44.1359351178216,8.62012916718639,2009
"35","Schuylkill",146952,43.1,140130,8876,20989,95.3576678098971,6.04006750503566,2009
"36","Somerset",76953,44.2,0,4502,19853,0,5.85032422387691,2009
"37","Washington",207389,43,196430,22601,23864,94.7157274493826,10.8978779009494,2009
"38","Westmoreland",362251,44.6,346113,38775,24215,95.5450778603786,10.7039041990222,2009
"39","York",428937,39.8,383519,41605,28330,89.4114986583111,9.69955960898687,2009
