"","County","totpop","medage","totpopwhite","bachdegree","medincome","perc.white","perc.bachdegree","year"
"1","Adams",101119,38.7,93397,8097,26869,92.3634529613624,8.00739722505167,2008
"2","Allegheny",1215103,42,1003496,174460,26606,82.585262319326,14.357630587695,2008
"3","Armstrong",68790,44.2,0,4532,22225,0,6.58816688472162,2008
"4","Beaver",172476,43.9,158598,15570,23903,91.9536631183469,9.02734293466917,2008
"5","Berks",403595,38.8,349235,41216,27326,86.5310521686344,10.2122176934799,2008
"6","Blair",125174,41,121330,11196,21504,96.9290747279787,8.94434946554396,2008
"7","Bucks",621643,41.6,566186,89128,35702,91.0789633278264,14.3374895237299,2008
"8","Butler",182902,39.8,177230,25460,27026,96.8988857420914,13.9200227444205,2008
"9","Cambria",144319,43.2,136414,10123,20871,94.522550738295,7.01432243848696,2008
"10","Centre",144779,28.9,130451,16141,19766,90.1035371151894,11.1487163193557,2008
"11","Chester",491489,38.7,433537,98920,40115,88.2088917554615,20.1265948983599,2008
"12","Clearfield",82896,41.9,0,0,19291,0,0,2008
"13","Columbia",65004,38.9,0,4927,21221,0,7.5795335671651,2008
"14","Crawford",88411,39.8,0,7451,20962,0,8.42768433792175,2008
"15","Cumberland",229361,40.1,212717,32922,29394,92.7433173032905,14.353791621069,2008
"16","Dauphin",256562,39.7,195973,28639,30188,76.3842657915046,11.16260397097,2008
"17","Delaware",553619,39.2,413971,76029,31751,74.7754322015682,13.7330908079383,2008
"18","Erie",279175,38.6,250875,26912,21919,89.8629891645026,9.63983164681651,2008
"19","Fayette",143925,41.4,0,8421,18705,0,5.8509640437728,2008
"20","Franklin",143495,39.8,135405,11845,28684,94.3621728980104,8.25464301892052,2008
"21","Indiana",87479,37.5,84208,7969,20445,96.2608168817659,9.10961487899953,2008
"22","Lackawanna",209408,41.7,199073,20904,22945,95.0646584657702,9.98242665036675,2008
"23","Lancaster",502370,37.8,456850,51430,28402,90.9389493799391,10.2374743714792,2008
"24","Lawrence",90272,42.2,0,7686,20781,0,8.51426799007444,2008
"25","Lebanon",128934,39.8,117565,11154,27712,91.1823103293158,8.65093768905021,2008
"26","Lehigh",339989,40,281416,36876,27997,82.7720896852545,10.8462332604878,2008
"27","Luzerne",311983,42.2,292687,29415,22221,93.8150476147739,9.42839834221737,2008
"28","Lycoming",116670,40.5,109138,9160,21486,93.5441844518728,7.85120425130711,2008
"29","Mercer",116652,41.8,107803,10648,21356,92.4141892123581,9.1280046634434,2008
"30","Monroe",165058,38.8,129646,15366,25627,78.5457233214991,9.30945485829224,2008
"31","Montgomery",778048,40.7,650039,136347,38317,83.5474160977215,17.524240149708,2008
"32","Northampton",294787,39.6,260695,37685,29106,88.4350395370216,12.7838066129103,2008
"33","Northumberland",91091,42.4,0,5955,21938,0,6.53741862533071,2008
"34","Philadelphia",1447395,35.7,614069,110197,21650,42.425806362465,7.6134710980762,2008
"35","Schuylkill",147254,41.8,140048,9231,23441,95.1064147663221,6.26876010159317,2008
"36","Somerset",77454,43.5,0,5895,20954,0,7.61096909133163,2008
"37","Washington",206407,42.4,195451,26237,24890,94.6920404831232,12.7112937061243,2008
"38","Westmoreland",361589,44.3,346046,41597,24481,95.7014732195946,11.5039450868251,2008
"39","York",424583,39.5,385776,40462,29213,90.8599731972312,9.52982102439335,2008
