"","County","totpop","medage","totpopwhite","bachdegree","medincome","perc.white","perc.bachdegree","year"
"1","Adams",101485,41.7,95237,7567,26811,93.8434251367197,7.45627432625511,2010
"2","Allegheny",1223583,41.4,998633,181768,26123,81.6154686686559,14.8553878241198,2010
"3","Armstrong",68839,44.6,67303,5054,22164,97.7687066924273,7.34176847426604,2010
"4","Beaver",170567,44.3,155157,16117,24270,90.9654270755773,9.44907279837249,2010
"5","Berks",411850,39.5,347052,41057,26006,84.2666019181741,9.96892072356441,2010
"6","Blair",127031,41.8,122234,9575,22570,96.2237564059167,7.53753020916154,2010
"7","Bucks",625472,42,563100,94314,32370,90.0280108462089,15.0788524506293,2010
"8","Butler",184059,41.3,177832,23670,27415,96.6168456853509,12.860006845631,2010
"9","Cambria",143498,43.7,135124,13067,22016,94.1643785976111,9.10605025854019,2010
"10","Carbon",65220,43.3,0,5027,22101,0,7.70775835633241,2010
"11","Centre",154127,29.3,137638,17943,19925,89.3016797835551,11.6416980801547,2010
"12","Chester",499797,39.3,436212,101537,38255,87.2778348009292,20.3156481531502,2010
"13","Clearfield",81562,41.5,77700,5599,20239,95.2649518157966,6.86471641205463,2010
"14","Columbia",67268,40.3,64586,5499,24056,96.0129630730808,8.17476363203901,2010
"15","Crawford",88657,41.8,85309,7328,20346,96.2236484428754,8.26556278692038,2010
"16","Cumberland",235861,40.2,212930,32662,30254,90.2777483348243,13.8479867379516,2010
"17","Dauphin",268220,39.1,199813,29507,29017,74.4959361717993,11.0010439191708,2010
"18","Delaware",559276,38.9,408816,75299,30241,73.0973615889114,13.4636565845844,2010
"19","Erie",280686,38.6,249120,25878,21835,88.7539813172014,9.21955494752143,2010
"20","Fayette",136446,43.3,127173,10282,19078,93.2039048414757,7.53558184190083,2010
"21","Franklin",149834,40.2,140087,13139,26335,93.4948009130104,8.7690377350935,2010
"22","Indiana",88847,39.2,84309,7640,20255,94.8923430166466,8.59905230339798,2010
"23","Lackawanna",214367,42.8,200252,21919,21897,93.4154977211978,10.2249879878899,2010
"24","Lancaster",520156,38.1,468862,52772,26101,90.1387276124855,10.1454179130876,2010
"25","Lawrence",90968,43.8,85091,8290,20759,93.5394864128045,9.11309471462492,2010
"26","Lebanon",133688,41,120099,12180,26293,89.8352881335647,9.11076536413141,2010
"27","Lehigh",350106,39.3,288037,38855,25233,82.271369242458,11.0980674424317,2010
"28","Luzerne",320795,42.6,297026,29846,22272,92.5905952399507,9.30376096884303,2010
"29","Lycoming",116143,41.4,107753,9877,21271,92.7761466468061,8.50417158158477,2010
"30","Mercer",116558,43.1,107036,10610,20943,91.8306765730366,9.10276428902349,2010
"31","Monroe",169896,40,135199,19063,23109,79.577506239111,11.2203936525875,2010
"32","Montgomery",801052,40.6,658853,147094,36633,82.2484682642325,18.3626031768225,2010
"33","Northampton",298101,41,259437,33855,27794,87.0298992623306,11.356889108054,2010
"34","Northumberland",94366,43.7,90456,6506,20812,95.8565585062417,6.89443231672424,2010
"35","Philadelphia",1528306,33.5,634294,125477,20743,41.5030759546845,8.21020136019881,2010
"36","Schuylkill",148228,43.2,140301,9801,21681,94.6521574871144,6.61211107213212,2010
"37","Somerset",77626,44.2,74594,4884,20976,96.0940921856079,6.29170638703527,2010
"38","Washington",207875,43.3,195619,24441,24525,94.1041491280818,11.7575466025256,2010
"39","Westmoreland",365012,45.3,348232,44564,24602,95.402890863862,12.2089136795503,2010
"40","York",435490,40.2,385017,42017,28539,88.4100668212818,9.64821235849273,2010
