"County","Health.Outcomes.Z.Score","Health.Outcomes.Rank","Health.Factors.Z.Score","Health.Factors.Rank","year"
"Dauphin",0.4,49,0.1,42,2019
"Delaware",0.35,47,-0.42,11,2019
"Elk",-0.19,23,-0.39,12,2019
"Erie",0.5,55,0.32,53,2019
"Fayette",1.7,66,1.09,66,2019
"Forest",-0.36,21,0.61,65,2019
"Franklin",-0.61,13,-0.19,19,2019
"Fulton",0.74,61,0.03,32,2019
"Greene",0.89,62,0.55,63,2019
"Huntingdon",0.21,39,0.33,55,2019
"Indiana",0.46,53,0.52,62,2019
"Jefferson",-0.01,30,0.09,39,2019
"Juniata",-0.14,26,-0.18,20,2019
"Lackawanna",0.41,50,0.04,33,2019
"Lancaster",-0.94,8,-0.48,10,2019
"Lawrence",1.18,64,0.47,61,2019
"Lebanon",-0.37,20,-0.37,14,2019
"Lehigh",-0.42,18,-0.07,24,2019
"Luzerne",0.92,63,0.42,60,2019
"Lycoming",0.17,36,0.05,35,2019
"McKean",0.47,54,0.38,58,2019
"Mercer",0.34,46,0.06,36,2019
"Mifflin",0.61,58,0.14,44,2019
"Monroe",0.61,57,0.26,47,2019
"Montgomery",-1.56,4,-1.13,1,2019
"Montour",-0.44,17,-0.75,6,2019
"Northampton",-0.78,9,-0.2,17,2019
"Northumberland",0.3,42,0.38,57,2019
"Perry",-0.05,28,-0.19,18,2019
"Philadelphia",2.38,67,1.44,67,2019
"Pike",-0.53,16,-0.11,22,2019
"Potter",0.32,43,0.59,64,2019
"Schuylkill",0.67,60,0.29,50,2019
"Snyder",-0.74,10,-0.23,16,2019
"Somerset",0.01,31,0.32,54,2019
"Sullivan",0.2,38,-0.02,27,2019
"Susquehanna",0.22,40,0.41,59,2019
"Tioga",-0.56,15,0.04,34,2019
"Union",-1.94,1,-0.62,8,2019
"Venango",0.54,56,0.31,52,2019
"Warren",-0.04,29,-0.02,28,2019
"Washington",0.03,33,-0.15,21,2019
"Wayne",-0.06,27,-0.03,26,2019
"Westmoreland",-0.14,25,-0.38,13,2019
"Wyoming",0.32,44,0.02,31,2019
"York",-0.29,22,-0.27,15,2019
"Adams",-0.44,17,-0.49,10,2020
"Allegheny",-0.51,14,-0.2,20,2020
"Armstrong",0.74,58,0.33,55,2020
"Beaver",0.25,44,0.34,56,2020
"Bedford",-0.44,16,-0.18,22,2020
"Berks",0.01,36,-0.02,26,2020
"Blair",0.24,43,0.12,37,2020
"Bradford",-0.18,25,0.15,40,2020
"Bucks",-1.24,5,-0.96,2,2020
"Butler",-1.14,6,-0.62,7,2020
"Cambria",1.33,64,0.23,44,2020
"Cameron",0.22,42,-0.02,27,2020
"Carbon",0.74,59,0.27,49,2020
"Centre",-1.82,2,-0.8,5,2020
"Chester",-1.66,3,-0.96,3,2020
"Clarion",-0.13,27,0.13,38,2020
"Clearfield",0.26,45,0.45,62,2020
"Clinton",-0.54,13,0.11,35,2020
"Columbia",0.32,47,-0.05,25,2020
"Crawford",0.53,52,0.25,48,2020
"Cumberland",-1.06,7,-0.84,4,2020
"Dauphin",0.49,50,0.15,39,2020
"Delaware",-0.01,34,-0.46,12,2020
"Elk",0.03,37,-0.47,11,2020
"Erie",0.68,57,0.39,58,2020
"Fayette",1.72,66,1.01,66,2020
"Forest",-0.33,20,0.68,65,2020
"Franklin",-0.5,15,-0.14,24,2020
"Fulton",-0.01,35,0.06,32,2020
"Greene",0.84,61,0.47,63,2020
"Huntingdon",0.19,39,0.28,51,2020
"Indiana",0.3,46,0.37,57,2020
"Jefferson",-0.06,32,0.06,31,2020
"Juniata",-0.41,18,-0.2,21,2020
"Lackawanna",0.84,60,0.25,47,2020
"Lancaster",-0.84,9,-0.59,9,2020
"Lawrence",1.37,65,0.32,54,2020
"Lebanon",-0.36,19,-0.29,16,2020
"Lehigh",-0.26,22,0.06,33,2020
"Luzerne",0.94,62,0.52,64,2020
"Lycoming",-0.09,29,0.02,29,2020
"McKean",0.67,56,0.42,61,2020
"Mercer",0.54,53,0.27,50,2020
"Mifflin",0.21,41,0.32,53,2020
"Monroe",0.18,38,0.21,43,2020
"Montgomery",-1.62,4,-1.13,1,2020
"Montour",-0.7,10,-0.77,6,2020
"Northampton",-0.64,11,-0.27,17,2020
"Northumberland",0.66,55,0.39,59,2020
"Perry",-0.07,30,-0.35,14,2020
"Philadelphia",2.22,67,1.35,67,2020
"Pike",-0.26,23,0.05,30,2020
"Potter",0.49,51,0.42,60,2020
"Schuylkill",0.98,63,0.19,42,2020
"Snyder",-0.94,8,-0.23,19,2020
"Somerset",-0.07,31,0.23,45,2020
"Sullivan",-0.1,28,0.12,36,2020
"Susquehanna",0.21,40,0.3,52,2020
"Tioga",-0.55,12,0.17,41,2020
"Union",-1.88,1,-0.6,8,2020
"Venango",0.35,48,0.25,46,2020
"Warren",-0.15,26,-0.16,23,2020
"Washington",-0.03,33,-0.32,15,2020
"Wayne",-0.29,21,-0.02,28,2020
"Westmoreland",0.35,49,-0.24,18,2020
"Wyoming",0.63,54,0.1,34,2020
"York",-0.24,24,-0.36,13,2020
