"County","Health.Outcomes.Z.Score","Health.Outcomes.Rank","Health.Factors.Z.Score","Health.Factors.Rank","year"
"Bucks",-1.1,7,-0.96,4,2012
"Butler",-0.82,10,-0.78,7,2012
"Cambria",1.19,63,0.35,56,2012
"Cameron",0.73,59,0.48,62,2012
"Carbon",0.38,49,0.48,61,2012
"Centre",-1.22,4,-1.08,3,2012
"Chester",-1.57,2,-1.29,1,2012
"Clarion",0.03,33,0.19,43,2012
"Clearfield",0.09,38,0.13,37,2012
"Clinton",-0.23,27,0.31,52,2012
"Columbia",-0.28,24,0.15,42,2012
"Crawford",0.11,42,0.08,33,2012
"Cumberland",-1.03,8,-0.94,5,2012
"Dauphin",0.25,46,0.24,45,2012
"Delaware",0.09,37,-0.36,13,2012
"Elk",0.92,62,0.11,35,2012
"Erie",0.09,40,0.23,44,2012
"Fayette",1.21,65,1.08,66,2012
"Forest",0.73,58,0.57,65,2012
"Franklin",-0.71,11,-0.23,17,2012
"Fulton",-0.1,30,0.44,60,2012
"Greene",1.36,66,0.39,57,2012
"Huntingdon",-0.25,26,0.15,41,2012
"Indiana",-0.13,29,0.04,30,2012
"Jefferson",0.74,60,0.42,58,2012
"Juniata",-1.32,3,-0.32,14,2012
"Lackawanna",0.44,51,-0.08,27,2012
"Lancaster",-0.89,9,-0.5,9,2012
"Lawrence",0.49,53,0.28,49,2012
"Lebanon",-0.45,15,-0.3,15,2012
"Lehigh",-0.29,23,-0.12,25,2012
"Luzerne",0.84,61,0.31,53,2012
"Lycoming",-0.37,18,0.11,34,2012
"McKean",0.25,45,0.56,64,2012
"Mercer",0.4,50,0.32,54,2012
"Mifflin",0.03,32,0.3,51,2012
"Monroe",0.06,36,0.14,40,2012
"Montgomery",-1.19,5,-1.17,2,2012
"Montour",-0.14,28,-0.8,6,2012
"Northampton",-0.26,25,-0.4,10,2012
"Northumberland",0.29,47,0.35,55,2012
"Perry",0.05,34,-0.15,24,2012
"Philadelphia",3.2,67,1.79,67,2012
"Pike",-0.58,13,-0.39,11,2012
"Potter",0.61,55,0.27,48,2012
"Schuylkill",0.67,57,0.43,59,2012
"Snyder",-1.18,6,-0.22,19,2012
"Somerset",-0.3,22,0.24,46,2012
"Sullivan",1.21,64,0.25,47,2012
"Susquehanna",0.46,52,0.13,38,2012
"Tioga",-0.68,12,-0.02,28,2012
"Union",-1.64,1,-0.27,16,2012
"Venango",0.06,35,0.12,36,2012
"Warren",0.09,39,0.28,50,2012
"Washington",-0.09,31,-0.18,22,2012
"Wayne",0.54,54,-0.2,20,2012
"Westmoreland",-0.31,21,-0.38,12,2012
"Wyoming",0.34,48,0.06,31,2012
"York",-0.39,16,-0.22,18,2012
"Adams",-0.62,12,-0.54,8,2013
"Allegheny",0.21,46,-0.29,14,2013
"Armstrong",-0.01,33,0.24,46,2013
"Beaver",0.2,44,0.11,36,2013
"Bedford",-0.25,24,0.05,31,2013
"Berks",-0.43,17,-0.15,21,2013
"Blair",0.56,56,0.11,37,2013
"Bradford",-0.18,27,-0.03,28,2013
"Bucks",-0.93,9,-1.05,4,2013
"Butler",-0.9,10,-0.83,6,2013
"Cambria",1.02,62,0.39,60,2013
"Cameron",-0.08,29,0.61,65,2013
"Carbon",0.17,42,0.58,64,2013
"Centre",-1.36,3,-1.06,3,2013
"Chester",-1.55,1,-1.36,1,2013
"Clarion",-0.21,26,0.12,39,2013
"Clearfield",0.01,34,0.12,38,2013
"Clinton",-0.33,20,0.29,49,2013
"Columbia",0.2,45,0.16,40,2013
"Crawford",-0.03,32,-0.04,27,2013
"Cumberland",-1.26,4,-1,5,2013
"Dauphin",0.27,47,0.17,41,2013
"Delaware",0.16,41,-0.37,12,2013
"Elk",0.88,61,0.09,33,2013
"Erie",0.37,49,0.23,45,2013
"Fayette",1.81,66,1.09,66,2013
"Forest",1.2,63,0.37,58,2013
"Franklin",-0.55,14,-0.16,20,2013
"Fulton",-0.16,28,0.34,56,2013
"Greene",1.81,65,0.3,51,2013
"Huntingdon",-0.32,21,0.1,35,2013
"Indiana",0.03,36,0.01,29,2013
"Jefferson",0.81,60,0.26,48,2013
"Juniata",-1.15,7,-0.09,24,2013
"Lackawanna",0.59,58,-0.06,26,2013
"Lancaster",-0.96,8,-0.54,9,2013
"Lawrence",0.7,59,0.3,50,2013
"Lebanon",-0.57,13,-0.3,13,2013
"Lehigh",-0.4,18,-0.09,23,2013
"Luzerne",0.59,57,0.39,59,2013
"Lycoming",-0.45,16,0.06,32,2013
"McKean",0.27,48,0.57,63,2013
"Mercer",0.41,51,0.1,34,2013
"Mifflin",0.12,39,0.31,52,2013
"Monroe",-0.04,31,0.24,47,2013
