"","County","totpop","medage","totpopwhite","bachdegree","medincome","perc.white","perc.bachdegree","year"
"1","Adams",102336,43.7,94224,9951,31103,92.0731707317073,9.72385084427767,2017
"2","Allegheny",1223048,41,974521,210333,32438,79.6797018596163,17.1974444175535,2017
"3","Armstrong",65642,46.4,0,5096,26336,0,7.76332226318516,2017
"4","Beaver",166140,45.2,149367,19078,30929,89.9042975803539,11.4830865535091,2017
"5","Berks",417854,39.8,339051,44019,29885,81.1410205478468,10.5345407726144,2017
"6","Blair",123457,43.3,117516,13188,25319,95.1877981807431,10.6822618401549,2017
"7","Bucks",628341,44,552398,108643,40535,87.913728373606,17.2904521589392,2017
"8","Butler",187108,43.3,179865,31664,34421,96.1289736408919,16.9228466981636,2017
"9","Cambria",133054,45.5,124342,13073,25630,93.4522825319043,9.82533407488689,2017
"10","Carbon",63853,45.9,0,4693,26284,0,7.34969382801121,2017
"11","Centre",162660,32.1,141962,23959,25710,87.2752981679577,14.7294971105373,2017
"12","Chester",519293,40,443075,109477,41732,85.3227368749434,21.0819325506025,2017
"13","Clearfield",79685,45,75051,7075,23699,94.1846018698626,8.87870992031123,2017
"14","Columbia",65932,40.4,0,5704,28412,0,8.65133774191591,2017
"15","Crawford",86159,43.7,82305,8853,26118,95.5268747316009,10.27518889495,2017
"16","Cumberland",250066,40.2,219512,37260,35861,87.7816256508282,14.900066382475,2017
"17","Dauphin",275710,39.7,194341,33258,32171,70.4874687171303,12.0626745493453,2017
"18","Delaware",564696,38.9,385543,86594,36343,68.2744343859351,15.3346225225608,2017
"19","Erie",274541,39.4,236901,32628,25724,86.2898437756109,11.8845636899407,2017
"20","Fayette",131504,45.6,121719,12661,23765,92.5591616985035,9.62784401995377,2017
"21","Franklin",154234,41.9,143122,14342,31842,92.7953628901539,9.29885758004072,2017
"22","Indiana",84953,40.9,80324,7998,22109,94.5511047284969,9.41461749437924,2017
"23","Lackawanna",210761,42.6,193469,27390,26490,91.7954460265419,12.9957629732256,2017
"24","Lancaster",542903,38.8,483054,63410,31433,88.9761154386695,11.6798028377077,2017
"25","Lawrence",87069,45.7,81047,9646,26408,93.0836463035064,11.0785698698733,2017
"26","Lebanon",139754,41.2,120690,13840,30865,86.358887759921,9.90311547433347,2017
"27","Lehigh",366494,39.5,290937,44298,30166,79.3838371160237,12.0869645887791,2017
"28","Luzerne",317343,43.2,280817,34880,27197,88.4900565003797,10.9912618208059,2017
"29","Lycoming",113841,40.6,104782,13030,26364,92.0424100280215,11.4457884242057,2017
"30","Mercer",111750,45,101560,12976,25907,90.8814317673378,11.6116331096197,2017
"31","Monroe",168046,42.7,128453,17336,31432,76.4391892696047,10.3162229389572,2017
"32","Montgomery",826075,41.2,653389,162775,42480,79.0956026995128,19.7046273038162,2017
"33","Northampton",303405,42.6,260162,40172,31847,85.7474332987261,13.2403882599166,2017
"34","Northumberland",92029,44.6,86841,7873,25595,94.3626465570635,8.55491203859653,2017
"35","Philadelphia",1580863,34.4,665060,176732,25984,42.0694266359577,11.1794633690585,2017
"36","Schuylkill",142569,44.6,133712,12468,27332,93.7875695277374,8.74523914736023,2017
"37","Somerset",74501,46.1,70900,5493,24943,95.1665078321096,7.37305539522959,2017
"38","Washington",207298,44.5,193401,30381,30615,93.2961244199172,14.6557130314812,2017
"39","Westmoreland",352627,47.2,334051,51308,31156,94.7321107005419,14.550218786423,2017
"40","York",446078,41.2,397989,50969,32055,89.219598366205,11.426028631764,2017
