"","County","totpop","medage","totpopwhite","bachdegree","medincome","perc.white","perc.bachdegree","year"
"1","Adams",101714,43.4,93140,9065,28782,91.570481939556,8.91224413551723,2014
"2","Allegheny",1231255,41,991681,196736,29585,80.5422922140418,15.9784934883513,2014
"3","Armstrong",67785,45.6,0,4696,25092,0,6.92778638341816,2014
"4","Beaver",169392,44.9,153447,18922,26698,90.5869226409748,11.1705393407009,2014
"5","Berks",413691,40.1,338562,42790,27220,81.839343858097,10.3434689176221,2014
"6","Blair",125955,43.1,120874,11513,23015,95.9660196101783,9.14056607518558,2014
"7","Bucks",626685,43.5,557246,100079,36683,88.9196326703208,15.9695859961544,2014
"8","Butler",185943,43,179091,28449,31250,96.3149997579903,15.2998499540182,2014
"9","Cambria",137732,44.9,129271,12043,23239,93.8569105218831,8.74379229227776,2014
"10","Carbon",64441,44.9,0,3934,25256,0,6.10480905013889,2014
"11","Centre",158742,30.5,139355,19297,23712,87.7871010822593,12.1562031472452,2014
"12","Chester",512784,40.6,438415,100481,39118,85.497012387282,19.5951901775406,2014
"13","Clearfield",81191,44.1,77095,4654,20795,94.9551058614871,5.73216243179663,2014
"14","Columbia",67122,39.9,63360,6612,23954,94.3952802359882,9.85071958523286,2014
"15","Crawford",87175,42.5,83495,7528,23076,95.7786062517924,8.63550329796387,2014
"16","Cumberland",243762,40.7,217479,34779,31462,89.2177615871219,14.2676052871243,2014
"17","Dauphin",271453,39.8,198849,32339,30482,73.2535650738802,11.9132962243924,2014
"18","Delaware",562960,38.7,399246,78512,31389,70.9190706266875,13.9462839278101,2014
"19","Erie",278443,39.4,242549,33816,24007,87.1090312918623,12.1446759300826,2014
"20","Fayette",134086,44.7,0,8976,22022,0,6.69421117790075,2014
"21","Franklin",152892,41.2,142493,11579,26508,93.1984668916621,7.573319728959,2014
"22","Indiana",87706,38.7,82409,8083,21889,93.9605044124689,9.21601714819967,2014
"23","Lackawanna",212719,42.7,197218,24427,24309,92.7129217418284,11.4832243476135,2014
"24","Lancaster",533320,38.5,468111,59681,29235,87.7730068251706,11.1904672616815,2014
"25","Lawrence",88771,44.9,0,7549,24185,0,8.50390330175395,2014
"26","Lebanon",136359,41.8,119918,12520,29536,87.9428567237953,9.18164550928065,2014
"27","Lehigh",357823,39.8,275619,43165,27723,77.0266304849045,12.0632267908994,2014
"28","Luzerne",318829,42.7,286830,31209,24910,89.9635854956732,9.78863277807226,2014
"29","Lycoming",116508,42.1,106037,10836,23585,91.0126343255399,9.30064888248017,2014
"30","Mercer",114884,44.6,104691,11467,22150,91.1275721597437,9.98137251488458,2014
"31","Monroe",166314,42.6,131762,16735,25131,79.2248397609341,10.0622918094688,2014
"32","Montgomery",816857,41.3,655005,148935,37622,80.1860056288922,18.232689442583,2014
"33","Northampton",300654,41.7,259243,36780,29474,86.2263598688193,12.2333313376838,2014
"34","Northumberland",93944,44,0,5765,22451,0,6.13663459082006,2014
"35","Philadelphia",1560297,33.8,664708,157342,22496,42.6013765328011,10.0841057824248,2014
"36","Schuylkill",145797,44.1,136964,10931,24584,93.9415763012956,7.49741078348663,2014
"37","Somerset",76218,45.6,72693,5372,22267,95.3751082421475,7.04820383636411,2014
"38","Washington",208187,44.3,194476,26369,28723,93.4140940596675,12.6660166100669,2014
"39","Westmoreland",359320,46.2,341629,44968,27972,95.0765334520761,12.514750083491,2014
"40","York",440755,41.3,391891,47045,29528,88.9135687626913,10.6737303036835,2014
