"","County","totpop","medage","totpopwhite","bachdegree","medincome","perc.white","perc.bachdegree","year"
"1","Adams",102295,43.4,94195,8933,28203,92.0817244244587,8.73258712547045,2015
"2","Allegheny",1230459,41,990127,202822,30320,80.4681017408951,16.4834423576893,2015
"3","Armstrong",67052,46.1,0,5315,24924,0,7.92668376782199,2015
"4","Beaver",168871,44.9,153439,17728,26504,90.8616636367405,10.4979540596076,2015
"5","Berks",415271,39.6,347572,44453,27672,83.6976335934847,10.7045760479301,2015
"6","Blair",125593,43.3,119179,12835,24761,94.8930274776461,10.2195186037438,2015
"7","Bucks",627367,43.8,551840,103707,37717,87.961273066642,16.5305156312015,2015
"8","Butler",186818,43,179365,28718,31815,96.0105557280348,15.3721804108812,2015
"9","Cambria",136411,45.1,127879,12584,24415,93.745372440639,9.22506249496008,2015
"10","Carbon",63960,45.6,61555,4394,26787,96.239837398374,6.86991869918699,2015
"11","Centre",160580,31.2,140405,22613,25090,87.4361688877818,14.0820774691742,2015
"12","Chester",515939,40.3,442708,107748,40903,85.8062677952239,20.8838641777419,2015
"13","Clearfield",80994,44.4,76816,4864,22259,94.8415932044349,6.00538311479863,2015
"14","Columbia",66672,40.1,63739,5477,23099,95.6008519318455,8.21484281257499,2015
"15","Crawford",86484,43.3,82369,7526,24212,95.2418944544656,8.70218768789603,2015
"16","Cumberland",246338,41,218722,36473,32780,88.7893869398956,14.8060794518101,2015
"17","Dauphin",272983,40.1,196987,34246,30907,72.1609037925439,12.5451035412462,2015
"18","Delaware",563894,39.4,392395,80140,32426,69.5866599041664,14.2118908872944,2015
"19","Erie",278045,39.4,242365,33029,26004,87.1675448218814,11.8790123900807,2015
"20","Fayette",133628,45,0,10203,22109,0,7.63537581943904,2015
"21","Franklin",153638,41.3,142091,13226,30101,92.4842812325076,8.60854736458428,2015
"22","Indiana",86966,39.8,82048,6149,22036,94.344916404112,7.07057930685555,2015
"23","Lackawanna",211917,43.1,195536,25431,26081,92.2700868736345,12.0004530075454,2015
"24","Lancaster",536624,38.8,474069,58019,29526,88.3428620412058,10.8118533647396,2015
"25","Lawrence",88082,44.6,81824,8411,23056,92.8952566926273,9.54905656093186,2015
"26","Lebanon",137067,41.5,120264,9763,28257,87.7410317581912,7.12279396207694,2015
"27","Lehigh",360685,39.6,284731,42582,29207,78.9417358637038,11.8058693874156,2015
"28","Luzerne",318449,42.8,281103,29931,26705,88.2725334354952,9.39899324538623,2015
"29","Lycoming",116048,41.5,106598,12270,25528,91.8568178684682,10.5732110850682,2015
"30","Mercer",114234,44.5,104725,11917,23394,91.6758583258925,10.4320955232243,2015
"31","Monroe",166397,41.9,126199,19572,25887,75.8421125380866,11.7622312902276,2015
"32","Montgomery",819264,41.2,649239,155712,40224,79.2466164752754,19.0063276306539,2015
"33","Northampton",300813,42.2,259696,37072,29928,86.3313753062534,12.3239354682145,2015
"34","Northumberland",93246,44.5,88658,6174,24558,95.0796817021642,6.62119554726208,2015
"35","Philadelphia",1567442,34.1,657151,173106,23688,41.9250600660184,11.0438536162742,2015
"36","Schuylkill",144590,44.2,135259,10814,25414,93.5465799847846,7.47907877446573,2015
"37","Somerset",75522,45.7,71988,5534,22910,95.3205688408676,7.32766611053733,2015
"38","Washington",208261,44.2,195323,29348,29296,93.787603055781,14.09193271904,2015
"39","Westmoreland",357956,46.8,338957,45862,27680,94.6923644246779,12.8121892076121,2015
"40","York",442867,40.9,394840,46559,29667,89.1554349274161,10.5130885796413,2015
